id,event_id,person_id,presenter_name_snapshot,title,topic,session_type,session_date,session_time,abstract,materials_url,status,notes,created_at
1,2,1791,,[좌장] 주제세션 2. Food X Wellness,주제세션 2. Food X Wellness,패널토론,,,,,완료,,2026-08-08 02:15:01.793148+00:00
2,2,1792,,[발표] 기조세션,기조세션,세션 발표,,,,,완료,,2026-08-08 02:15:01.793148+00:00
3,2,1793,,[발표] 기조세션,기조세션,세션 발표,,,,,완료,,2026-08-08 02:15:01.793148+00:00
4,2,1794,,[좌장] 기조세션,기조세션,패널토론,,,,,완료,,2026-08-08 02:15:01.793148+00:00
5,2,1467,,[발표] 주제세션 1. Food X System,주제세션 1. Food X System,세션 발표,,,,,완료,,2026-08-08 02:15:01.793148+00:00
6,2,1424,,[발표] 주제세션 2. Food X Wellness,주제세션 2. Food X Wellness,세션 발표,,,,,완료,,2026-08-08 02:15:01.793148+00:00
7,2,1795,,[좌장] 주제세션 1. Food X System,주제세션 1. Food X System,패널토론,,,,,완료,,2026-08-08 02:15:01.793148+00:00
8,2,1796,,[발표] 주제세션 3. Food X Planet,주제세션 3. Food X Planet,세션 발표,,,,,완료,,2026-08-08 02:15:01.793148+00:00
9,2,1797,,[좌장] 특별세션. Food X Culture,특별세션. Food X Culture,패널토론,,,,,완료,,2026-08-08 02:15:01.793148+00:00
10,2,1798,,[발표] 주제세션 1. Food X System,주제세션 1. Food X System,세션 발표,,,,,완료,,2026-08-08 02:15:01.793148+00:00
11,2,1799,,[좌장] 주제세션 3. Food X Planet,주제세션 3. Food X Planet,패널토론,,,,,완료,,2026-08-08 02:15:01.793148+00:00
12,2,1800,,[발표] 주제세션 3. Food X Planet,주제세션 3. Food X Planet,세션 발표,,,,,완료,,2026-08-08 02:15:01.793148+00:00
13,2,1801,,[발표] 주제세션 1. Food X System,주제세션 1. Food X System,세션 발표,,,,,완료,,2026-08-08 02:15:01.793148+00:00
14,2,1802,,[발표] 주제세션 2. Food X Wellness,주제세션 2. Food X Wellness,세션 발표,,,,,완료,,2026-08-08 02:15:01.793148+00:00
15,2,1803,,[발표] 기조세션,기조세션,세션 발표,,,,,완료,,2026-08-08 02:15:01.793148+00:00
16,2,1804,,[발표] 주제세션 3. Food X Planet,주제세션 3. Food X Planet,세션 발표,,,,,완료,,2026-08-08 02:15:01.793148+00:00
17,2,1805,,[발표] 주제세션 2. Food X Wellness,주제세션 2. Food X Wellness,세션 발표,,,,,완료,,2026-08-08 02:15:01.793148+00:00
18,3,1528,,[좌장] 월드푸드테크,월드푸드테크,패널토론,,,,,완료,,2026-08-08 02:15:01.793148+00:00
19,3,1806,,[발표] 유통푸드테크,유통푸드테크,세션 발표,,,,,완료,,2026-08-08 02:15:01.793148+00:00
20,3,1807,,[좌장] 유통푸드테크,유통푸드테크,패널토론,,,,,완료,,2026-08-08 02:15:01.793148+00:00
21,3,1260,,[패널] 소비푸드테크,소비푸드테크,패널토론,,,,,완료,,2026-08-08 02:15:01.793148+00:00
22,3,1489,,[발표] 월드푸드테크,월드푸드테크,세션 발표,,,,,완료,,2026-08-08 02:15:01.793148+00:00
23,3,1379,,[발표] 생산푸드테크,생산푸드테크,세션 발표,,,,,완료,,2026-08-08 02:15:01.793148+00:00
24,3,1808,,[패널] 월드푸드테크,월드푸드테크,패널토론,,,,,완료,,2026-08-08 02:15:01.793148+00:00
25,3,1491,,[패널] 소비푸드테크,소비푸드테크,패널토론,,,,,완료,,2026-08-08 02:15:01.793148+00:00
26,3,1809,,[패널] 유통푸드테크,유통푸드테크,패널토론,,,,,완료,,2026-08-08 02:15:01.793148+00:00
27,3,1419,,[발표] 소비푸드테크,소비푸드테크,세션 발표,,,,,완료,,2026-08-08 02:15:01.793148+00:00
28,3,1143,,[패널] 유통푸드테크,유통푸드테크,패널토론,,,,,완료,,2026-08-08 02:15:01.793148+00:00
29,3,1473,,[발표] 유통푸드테크,유통푸드테크,세션 발표,,,,,완료,,2026-08-08 02:15:01.793148+00:00
30,3,1810,,[패널] 월드푸드테크,월드푸드테크,패널토론,,,,,완료,,2026-08-08 02:15:01.793148+00:00
31,3,1811,,[패널] 생산푸드테크,생산푸드테크,패널토론,,,,,완료,,2026-08-08 02:15:01.793148+00:00
32,3,1246,,[패널] 월드푸드테크,월드푸드테크,패널토론,,,,,완료,,2026-08-08 02:15:01.793148+00:00
33,3,1812,,[발표] 생산푸드테크,생산푸드테크,세션 발표,,,,,완료,,2026-08-08 02:15:01.793148+00:00
34,3,1285,,[발표] 월드푸드테크,월드푸드테크,세션 발표,,,,,완료,,2026-08-08 02:15:01.793148+00:00
35,3,1813,,[발표] 생산푸드테크,생산푸드테크,세션 발표,,,,,완료,,2026-08-08 02:15:01.793148+00:00
36,3,1156,,[발표] 월드푸드테크,월드푸드테크,세션 발표,,,,,완료,,2026-08-08 02:15:01.793148+00:00
37,3,1397,,[패널] 생산푸드테크,생산푸드테크,패널토론,,,,,완료,,2026-08-08 02:15:01.793148+00:00
38,3,1440,,[좌장] 소비푸드테크,소비푸드테크,패널토론,,,,,완료,,2026-08-08 02:15:01.793148+00:00
39,3,1814,,[좌장] 생산푸드테크,생산푸드테크,패널토론,,,,,완료,,2026-08-08 02:15:01.793148+00:00
40,3,1288,,[발표] 유통푸드테크,유통푸드테크,세션 발표,,,,,완료,,2026-08-08 02:15:01.793148+00:00
41,3,1400,,[발표] 소비푸드테크,소비푸드테크,세션 발표,,,,,완료,,2026-08-08 02:15:01.793148+00:00
42,3,1256,,[발표] 소비푸드테크,소비푸드테크,세션 발표,,,,,완료,,2026-08-08 02:15:01.793148+00:00
43,4,1815,,[발표],,세션 발표,,,,,완료,,2026-08-08 02:15:01.793148+00:00
44,4,1816,,[패널],,패널토론,,,,,완료,,2026-08-08 02:15:01.793148+00:00
45,4,1376,,[발표],,세션 발표,,,,,완료,,2026-08-08 02:15:01.793148+00:00
46,4,896,,[좌장],,패널토론,,,,,완료,,2026-08-08 02:15:01.793148+00:00
47,4,1817,,[발표],,세션 발표,,,,,완료,,2026-08-08 02:15:01.793148+00:00
48,4,1818,,[발표],,세션 발표,,,,,완료,,2026-08-08 02:15:01.793148+00:00
49,4,1819,,[패널],,패널토론,,,,,완료,,2026-08-08 02:15:01.793148+00:00
50,4,1820,,[발표],,세션 발표,,,,,완료,,2026-08-08 02:15:01.793148+00:00
