id,name,event_type,edition,start_date,end_date,location,theme,description,status,notes,created_at
2,WFT25 포럼,Forum,,2025-12-04,2025-12-05,,,,종료,,2026-08-08 02:14:49.364156+00:00
3,WFT25 스타트업 컨퍼런스,ConFex,,2025-10-29,2025-10-30,,,,종료,,2026-08-08 02:14:49.364156+00:00
4,월드 애그리-푸드테크 포럼,Forum,,2025-10-24,2025-10-24,,,,종료,,2026-08-08 02:14:49.364156+00:00
5,WFT25 컨퍼런스,ConFex,,2025-10-13,2025-10-15,,,,종료,,2026-08-08 02:14:49.364156+00:00
6,WFT24 컨퍼런스,ConFex,,2024-06-19,2024-06-21,,,,종료,,2026-08-08 02:14:49.364156+00:00
7,WFT25 3D프린팅푸드 포럼,Forum,,2025-09-29,2025-09-29,,,,종료,,2026-08-08 02:14:49.364156+00:00
8,첨단식품산업육성 푸드스마트제조정책 세미나,세미나,,2025-09-22,2025-09-22,,,,종료,,2026-08-08 02:14:49.364156+00:00
9,월드푸드테크 표준 포럼,Forum,,2025-09-09,2025-09-09,,,,종료,,2026-08-08 02:14:49.364156+00:00
10,WFT25 블루푸드테크 포럼,Forum,,2025-09-04,2025-09-04,,,,종료,,2026-08-08 02:14:49.364156+00:00
11,푸드테크 선도도시 포럼,Forum,,2025-07-25,2025-07-25,,,,종료,,2026-08-08 02:14:49.364156+00:00
12,간편식품 포럼,Forum,,2025-07-09,2025-07-09,,,,종료,,2026-08-08 02:14:49.364156+00:00
13,식품로봇 포럼,Forum,,2025-07-03,2025-07-03,,,,종료,,2026-08-08 02:14:49.364156+00:00
14,세포배양식품 포럼,Forum,,2025-06-09,2025-06-09,,,,종료,,2026-08-08 02:14:49.364156+00:00
15,WFT24 엑스포,ConFex,,2024-11-20,2024-11-21,,,,종료,,2026-08-08 02:14:49.364156+00:00
16,WFT24 포럼,Forum,,2024-11-18,2024-11-19,,,,종료,,2026-08-08 02:14:49.364156+00:00
17,2024 블루푸드테크 포럼,Forum,,2024-09-27,2024-09-27,,,,종료,,2026-08-08 02:14:49.364156+00:00
18,2024 급식테크포럼,Forum,,2024-08-13,2024-08-13,,,,종료,,2026-08-08 02:14:49.364156+00:00
19,WFT24 과천 월드푸드테크 토크콘서트,기타,,2024-06-21,2024-06-21,,,,종료,,2026-08-08 02:14:49.364156+00:00
20,WFT23 컨퍼런스 & 엑스포,ConFex,,2023-11-22,2023-11-24,,,,종료,,2026-08-08 02:14:49.364156+00:00
21,청년 푸드테크 토크콘서트 (충남),기타,,2023-11-02,2023-11-02,,,,종료,,2026-08-08 02:14:49.364156+00:00
22,청년 푸드테크 토크콘서트 (포항),기타,,2023-09-15,2023-09-15,,,,종료,,2026-08-08 02:14:49.364156+00:00
23,2023 글로벌 푸드테크 스타트업 컨퍼런스,ConFex,,2023-07-26,2023-07-28,,,,종료,,2026-08-08 02:14:49.364156+00:00
24,청년 푸드테크 토크콘서트 (호남),기타,,2023-06-07,2023-06-07,,,,종료,,2026-08-08 02:14:49.364156+00:00
25,청년 푸드테크 토크콘서트 (서울),기타,,2023-03-28,2023-03-28,,,,종료,,2026-08-08 02:14:49.364156+00:00
26,WFT22 컨퍼런스,ConFex,,2022-11-02,2022-11-04,,,,종료,,2026-08-08 02:14:49.364156+00:00
