id,name,description,display_order,created_at
1,세포배양식품,,1,2026-08-08 01:45:13.534043+00:00
2,식물성 대체식품,,2,2026-08-08 01:45:13.534043+00:00
3,식품프린팅,,3,2026-08-08 01:45:13.534043+00:00
4,개인맞춤형 식품,,4,2026-08-08 01:45:13.534043+00:00
5,간편식/HMR,,5,2026-08-08 01:45:13.534043+00:00
6,스마트팜/스마트농업,,6,2026-08-08 01:45:13.534043+00:00
7,푸드로봇/자동화,,7,2026-08-08 01:45:13.534043+00:00
8,친환경 식품포장,,8,2026-08-08 01:45:13.534043+00:00
9,푸드 업사이클링,,9,2026-08-08 01:45:13.534043+00:00
10,디지털 식품안전관리,,10,2026-08-08 01:45:13.534043+00:00
