id,name,org_type,industry,website,address,notes,created_at,updated_at
496,(유)농업회사법인 왕산종묘,,,,,,2026-08-08 01:53:58.576308+00:00,2026-08-08 01:53:58.576308+00:00
497,(재)한국화학융합시험연구원,,,,,,2026-08-08 01:53:58.576308+00:00,2026-08-08 01:53:58.576308+00:00
498,(전) 경북대학교,,,,,,2026-08-08 01:53:58.576308+00:00,2026-08-08 01:53:58.576308+00:00
499,(전) 세종대학교,,,,,,2026-08-08 01:53:58.576308+00:00,2026-08-08 01:53:58.576308+00:00
500,(주)신바드,,,,,,2026-08-08 01:53:58.576308+00:00,2026-08-08 01:53:58.576308+00:00
501,CJ,,,,,,2026-08-08 01:53:58.576308+00:00,2026-08-08 01:53:58.576308+00:00
502,CJ ENM,,,,,,2026-08-08 01:53:58.576308+00:00,2026-08-08 01:53:58.576308+00:00
503,CJ 프레시웨이,,,,,,2026-08-08 01:53:58.576308+00:00,2026-08-08 01:53:58.576308+00:00
504,CJ바이오사이언스,,,,,,2026-08-08 01:53:58.576308+00:00,2026-08-08 01:53:58.576308+00:00
505,CJ제일제당,,,,,,2026-08-08 01:53:58.576308+00:00,2026-08-08 01:53:58.576308+00:00
506,CJ제일제당 식품연구소,,,,,,2026-08-08 01:53:58.576308+00:00,2026-08-08 01:53:58.576308+00:00
507,"Dr. Schön, Neymeyr & Partner 특허사무소",,,,,,2026-08-08 01:53:58.576308+00:00,2026-08-08 01:53:58.576308+00:00
508,GS,,,,,,2026-08-08 01:53:58.576308+00:00,2026-08-08 01:53:58.576308+00:00
509,Harvard University,,,,,,2026-08-08 01:53:58.576308+00:00,2026-08-08 01:53:58.576308+00:00
510,ICON Plc,,,,,,2026-08-08 01:53:58.576308+00:00,2026-08-08 01:53:58.576308+00:00
511,Impossible™,,,,,,2026-08-08 01:53:58.576308+00:00,2026-08-08 01:53:58.576308+00:00
512,JTBC,,,,,,2026-08-08 01:53:58.576308+00:00,2026-08-08 01:53:58.576308+00:00
513,JW중외제약,,,,,,2026-08-08 01:53:58.576308+00:00,2026-08-08 01:53:58.576308+00:00
514,KB국민은행,,,,,,2026-08-08 01:53:58.576308+00:00,2026-08-08 01:53:58.576308+00:00
515,KFC 코리아 대표,,,,,,2026-08-08 01:53:58.576308+00:00,2026-08-08 01:53:58.576308+00:00
516,LG 생활건강,,,,,,2026-08-08 01:53:58.576308+00:00,2026-08-08 01:53:58.576308+00:00
517,LG전자,,,,,,2026-08-08 01:53:58.576308+00:00,2026-08-08 01:53:58.576308+00:00
518,ONA,,,,,,2026-08-08 01:53:58.576308+00:00,2026-08-08 01:53:58.576308+00:00
519,Prep academy,,,,,,2026-08-08 01:53:58.576308+00:00,2026-08-08 01:53:58.576308+00:00
520,SPC,,,,,,2026-08-08 01:53:58.576308+00:00,2026-08-08 01:53:58.576308+00:00
521,SPC삼립,,,,,,2026-08-08 01:53:58.576308+00:00,2026-08-08 01:53:58.576308+00:00
522,SY솔루션,,,,,,2026-08-08 01:53:58.576308+00:00,2026-08-08 01:53:58.576308+00:00
523,University of Massachusetts Chan Medical School,,,,,,2026-08-08 01:53:58.576308+00:00,2026-08-08 01:53:58.576308+00:00
524,WFT연구원,,,,,,2026-08-08 01:53:58.576308+00:00,2026-08-08 01:53:58.576308+00:00
525,hy(구 한국야쿠르트) 글로벌사업1팀,,,,,,2026-08-08 01:53:58.576308+00:00,2026-08-08 01:53:58.576308+00:00
526,㈜ 코스맥스,,,,,,2026-08-08 01:53:58.576308+00:00,2026-08-08 01:53:58.576308+00:00
527,前 서울예술대학교/전주대/계원예술대/과학기술대학교,,,,,,2026-08-08 01:53:58.576308+00:00,2026-08-08 01:53:58.576308+00:00
528,가족사랑요양병원,,,,,,2026-08-08 01:53:58.576308+00:00,2026-08-08 01:53:58.576308+00:00
529,가천대학교,,,,,,2026-08-08 01:53:58.576308+00:00,2026-08-08 01:53:58.576308+00:00
530,가톨릭대학교,,,,,,2026-08-08 01:53:58.576308+00:00,2026-08-08 01:53:58.576308+00:00
531,강원대학교,,,,,,2026-08-08 01:53:58.576308+00:00,2026-08-08 01:53:58.576308+00:00
532,같이양조장,,,,,,2026-08-08 01:53:58.576308+00:00,2026-08-08 01:53:58.576308+00:00
533,개인사업(친정갈비),,,,,,2026-08-08 01:53:58.576308+00:00,2026-08-08 01:53:58.576308+00:00
534,갤럭시코퍼레이션,,,,,,2026-08-08 01:53:58.576308+00:00,2026-08-08 01:53:58.576308+00:00
535,건국대학교,,,,,,2026-08-08 01:53:58.576308+00:00,2026-08-08 01:53:58.576308+00:00
536,경기농수산진흥원,,,,,,2026-08-08 01:53:58.576308+00:00,2026-08-08 01:53:58.576308+00:00
537,경기도농업기술원,,,,,,2026-08-08 01:53:58.576308+00:00,2026-08-08 01:53:58.576308+00:00
538,경북대학교,,,,,,2026-08-08 01:53:58.576308+00:00,2026-08-08 01:53:58.576308+00:00
539,경희대학교,,,,,,2026-08-08 01:53:58.576308+00:00,2026-08-08 01:53:58.576308+00:00
540,고려대학교,,,,,,2026-08-08 01:53:58.576308+00:00,2026-08-08 01:53:58.576308+00:00
541,고바이오랩,,,,,,2026-08-08 01:53:58.576308+00:00,2026-08-08 01:53:58.576308+00:00
542,고피자,,,,,,2026-08-08 01:53:58.576308+00:00,2026-08-08 01:53:58.576308+00:00
543,공백담,,,,,,2026-08-08 01:53:58.576308+00:00,2026-08-08 01:53:58.576308+00:00
544,과천시 푸드테크 연구지원센터,,,,,,2026-08-08 01:53:58.576308+00:00,2026-08-08 01:53:58.576308+00:00
545,과학기술정책연구원,,,,,,2026-08-08 01:53:58.576308+00:00,2026-08-08 01:53:58.576308+00:00
546,교보생명,,,,,,2026-08-08 01:53:58.576308+00:00,2026-08-08 01:53:58.576308+00:00
547,구직중,,,,,,2026-08-08 01:53:58.576308+00:00,2026-08-08 01:53:58.576308+00:00
548,국민대학교,,,,,,2026-08-08 01:53:58.576308+00:00,2026-08-08 01:53:58.576308+00:00
549,국바,,,,,,2026-08-08 01:53:58.576308+00:00,2026-08-08 01:53:58.576308+00:00
550,국제농업기술학과,,,,,,2026-08-08 01:53:58.576308+00:00,2026-08-08 01:53:58.576308+00:00
551,국제올림픽위원회,,,,,,2026-08-08 01:53:58.576308+00:00,2026-08-08 01:53:58.576308+00:00
552,국회,,,,,,2026-08-08 01:53:58.576308+00:00,2026-08-08 01:53:58.576308+00:00
553,굿앤스,,,,,,2026-08-08 01:53:58.576308+00:00,2026-08-08 01:53:58.576308+00:00
554,그레잇코리아,,,,,,2026-08-08 01:53:58.576308+00:00,2026-08-08 01:53:58.576308+00:00
555,그린랩스,,,,,,2026-08-08 01:53:58.576308+00:00,2026-08-08 01:53:58.576308+00:00
556,글로벌미트플랫폼,,,,,,2026-08-08 01:53:58.576308+00:00,2026-08-08 01:53:58.576308+00:00
557,기계공학부,,,,,,2026-08-08 01:53:58.576308+00:00,2026-08-08 01:53:58.576308+00:00
558,기장물산랩(주),,,,,,2026-08-08 01:53:58.576308+00:00,2026-08-08 01:53:58.576308+00:00
559,나노랩스,,,,,,2026-08-08 01:53:58.576308+00:00,2026-08-08 01:53:58.576308+00:00
560,나눔엔젤스,,,,,,2026-08-08 01:53:58.576308+00:00,2026-08-08 01:53:58.576308+00:00
561,남송바이탈,,,,,,2026-08-08 01:53:58.576308+00:00,2026-08-08 01:53:58.576308+00:00
