id,person_id,cohort_id,role,enrolled_date,completion_status,grade,notes,created_at
1,896,4,수강생,,수료,,,2026-08-08 01:54:19.600955+00:00
2,897,4,수강생,,수료,,,2026-08-08 01:54:19.600955+00:00
3,898,4,수강생,,수료,,,2026-08-08 01:54:19.600955+00:00
4,899,4,수강생,,수료,,,2026-08-08 01:54:19.600955+00:00
5,900,4,수강생,,수료,,,2026-08-08 01:54:19.600955+00:00
6,901,4,수강생,,수료,,,2026-08-08 01:54:19.600955+00:00
7,902,4,수강생,,수료,,,2026-08-08 01:54:19.600955+00:00
8,903,4,수강생,,수료,,,2026-08-08 01:54:19.600955+00:00
9,904,4,수강생,,수료,,,2026-08-08 01:54:19.600955+00:00
10,905,4,수강생,,수료,,,2026-08-08 01:54:19.600955+00:00
11,906,4,수강생,,수료,,,2026-08-08 01:54:19.600955+00:00
12,907,4,수강생,,수료,,,2026-08-08 01:54:19.600955+00:00
13,908,4,수강생,,수료,,,2026-08-08 01:54:19.600955+00:00
14,909,4,수강생,,수료,,,2026-08-08 01:54:19.600955+00:00
15,910,4,수강생,,수료,,,2026-08-08 01:54:19.600955+00:00
16,911,4,수강생,,수료,,,2026-08-08 01:54:19.600955+00:00
17,912,4,수강생,,수료,,,2026-08-08 01:54:19.600955+00:00
18,913,4,수강생,,수료,,,2026-08-08 01:54:19.600955+00:00
19,914,4,수강생,,수료,,,2026-08-08 01:54:19.600955+00:00
20,915,4,수강생,,수료,,,2026-08-08 01:54:19.600955+00:00
21,916,4,수강생,,수료,,,2026-08-08 01:54:19.600955+00:00
22,917,4,수강생,,수료,,,2026-08-08 01:54:19.600955+00:00
23,918,4,수강생,,수료,,,2026-08-08 01:54:19.600955+00:00
24,919,4,수강생,,수료,,,2026-08-08 01:54:19.600955+00:00
25,920,4,수강생,,수료,,,2026-08-08 01:54:19.600955+00:00
26,921,4,수강생,,수료,,,2026-08-08 01:54:19.600955+00:00
27,922,4,수강생,,수료,,,2026-08-08 01:54:19.600955+00:00
28,923,4,수강생,,수료,,,2026-08-08 01:54:19.600955+00:00
29,924,4,수강생,,수료,,,2026-08-08 01:54:19.600955+00:00
30,925,4,수강생,,수료,,,2026-08-08 01:54:19.600955+00:00
31,926,5,수강생,,수료,,,2026-08-08 01:54:19.600955+00:00
32,927,5,수강생,,수료,,,2026-08-08 01:54:19.600955+00:00
33,928,5,수강생,,수료,,,2026-08-08 01:54:19.600955+00:00
34,929,5,수강생,,수료,,,2026-08-08 01:54:19.600955+00:00
35,930,5,수강생,,수료,,,2026-08-08 01:54:19.600955+00:00
36,931,5,수강생,,수료,,,2026-08-08 01:54:19.600955+00:00
37,932,5,수강생,,수료,,,2026-08-08 01:54:19.600955+00:00
38,933,5,수강생,,수료,,,2026-08-08 01:54:19.600955+00:00
39,934,5,수강생,,수료,,,2026-08-08 01:54:19.600955+00:00
40,935,5,수강생,,수료,,,2026-08-08 01:54:19.600955+00:00
41,936,5,수강생,,수료,,,2026-08-08 01:54:19.600955+00:00
42,937,5,수강생,,수료,,,2026-08-08 01:54:19.600955+00:00
43,938,5,수강생,,수료,,,2026-08-08 01:54:19.600955+00:00
44,939,5,수강생,,수료,,,2026-08-08 01:54:19.600955+00:00
45,940,5,수강생,,수료,,,2026-08-08 01:54:19.600955+00:00
46,941,5,수강생,,수료,,,2026-08-08 01:54:19.600955+00:00
47,942,5,수강생,,수료,,,2026-08-08 01:54:19.600955+00:00
48,943,5,수강생,,수료,,,2026-08-08 01:54:19.600955+00:00
49,944,5,수강생,,수료,,,2026-08-08 01:54:19.600955+00:00
50,945,5,수강생,,수료,,,2026-08-08 01:54:19.600955+00:00
51,946,5,수강생,,수료,,,2026-08-08 01:54:19.600955+00:00
52,947,5,수강생,,수료,,,2026-08-08 01:54:19.600955+00:00
53,948,5,수강생,,수료,,,2026-08-08 01:54:19.600955+00:00
54,949,5,수강생,,수료,,,2026-08-08 01:54:19.600955+00:00
55,950,5,수강생,,수료,,,2026-08-08 01:54:19.600955+00:00
56,951,5,수강생,,수료,,,2026-08-08 01:54:19.600955+00:00
57,952,5,수강생,,수료,,,2026-08-08 01:54:19.600955+00:00
58,953,5,수강생,,수료,,,2026-08-08 01:54:19.600955+00:00
59,954,5,수강생,,수료,,,2026-08-08 01:54:19.600955+00:00
60,955,5,수강생,,수료,,,2026-08-08 01:54:19.600955+00:00
61,956,6,수강생,,수료,,,2026-08-08 01:54:19.600955+00:00
62,957,6,수강생,,수료,,,2026-08-08 01:54:19.600955+00:00
63,958,6,수강생,,수료,,,2026-08-08 01:54:19.600955+00:00
64,959,6,수강생,,수료,,,2026-08-08 01:54:19.600955+00:00
65,960,6,수강생,,수료,,,2026-08-08 01:54:19.600955+00:00
66,961,6,수강생,,수료,,,2026-08-08 01:54:19.600955+00:00
67,962,6,수강생,,수료,,,2026-08-08 01:54:19.600955+00:00
68,963,6,수강생,,수료,,,2026-08-08 01:54:19.600955+00:00
69,964,6,수강생,,수료,,,2026-08-08 01:54:19.600955+00:00
