id,person_id,membership_status,member_type,join_date,membership_tier,invited_by,notes,created_at,updated_at
1,896,가입 완료,기존 멤버,,임원(이사),,25.5 납입,2026-08-08 01:54:29.560852+00:00,2026-08-08 01:54:29.560852+00:00
2,899,가입 완료,기존 멤버,,정회원,,24.4 납입,2026-08-08 01:54:29.560852+00:00,2026-08-08 01:54:29.560852+00:00
3,902,미가입,,,X,,,2026-08-08 01:54:29.560852+00:00,2026-08-08 01:54:29.560852+00:00
4,905,가입 완료,기존 멤버,,정회원,,연회비 납입 이력X,2026-08-08 01:54:29.560852+00:00,2026-08-08 01:54:29.560852+00:00
5,908,미가입,,,X,,,2026-08-08 01:54:29.560852+00:00,2026-08-08 01:54:29.560852+00:00
6,911,미가입,,,X,,,2026-08-08 01:54:29.560852+00:00,2026-08-08 01:54:29.560852+00:00
7,914,가입 완료,기존 멤버,,정회원,,"실무위원회라 임의 삽입한 것으로, 동의 없이 회원으로 간주하여 삽입한 인원",2026-08-08 01:54:29.560852+00:00,2026-08-08 01:54:29.560852+00:00
8,917,가입 완료,기존 멤버,,정회원,,26.5 납입,2026-08-08 01:54:29.560852+00:00,2026-08-08 01:54:29.560852+00:00
9,920,미가입,,,X,,,2026-08-08 01:54:29.560852+00:00,2026-08-08 01:54:29.560852+00:00
10,923,미가입,,,X,,,2026-08-08 01:54:29.560852+00:00,2026-08-08 01:54:29.560852+00:00
11,926,미가입,,,X,,,2026-08-08 01:54:29.560852+00:00,2026-08-08 01:54:29.560852+00:00
12,929,미가입,,,X,,,2026-08-08 01:54:29.560852+00:00,2026-08-08 01:54:29.560852+00:00
13,933,미가입,,,X,,,2026-08-08 01:54:29.560852+00:00,2026-08-08 01:54:29.560852+00:00
14,935,가입 완료,기존 멤버,,정회원,,연회비 납입 이력X,2026-08-08 01:54:29.560852+00:00,2026-08-08 01:54:29.560852+00:00
15,940,미가입,,,X,,,2026-08-08 01:54:29.560852+00:00,2026-08-08 01:54:29.560852+00:00
16,943,가입 완료,신규 가입(서울대 과정 출신),,정회원,,연회비 납입 이력X,2026-08-08 01:54:29.560852+00:00,2026-08-08 01:54:29.560852+00:00
17,945,미가입,,,X,,,2026-08-08 01:54:29.560852+00:00,2026-08-08 01:54:29.560852+00:00
18,950,가입 완료,기존 멤버,,정회원,,"실무위원회라 임의 삽입한 것으로, 동의 없이 회원으로 간주하여 삽입한 인원",2026-08-08 01:54:29.560852+00:00,2026-08-08 01:54:29.560852+00:00
19,951,가입 완료,기존 멤버,,정회원,,연회비 납입 이력X,2026-08-08 01:54:29.560852+00:00,2026-08-08 01:54:29.560852+00:00
20,954,미가입,,,X,,,2026-08-08 01:54:29.560852+00:00,2026-08-08 01:54:29.560852+00:00
21,958,가입 완료,기존 멤버,,정회원,,"실무위원회라 임의 삽입한 것으로, 동의 없이 회원으로 간주하여 삽입한 인원",2026-08-08 01:54:29.560852+00:00,2026-08-08 01:54:29.560852+00:00
22,959,가입 완료,기존 멤버,,임원(이사),,25.7 납입,2026-08-08 01:54:29.560852+00:00,2026-08-08 01:54:29.560852+00:00
23,964,가입 완료,기존 멤버,,정회원,,25.10 납입,2026-08-08 01:54:29.560852+00:00,2026-08-08 01:54:29.560852+00:00
24,965,미가입,,,X,,,2026-08-08 01:54:29.560852+00:00,2026-08-08 01:54:29.560852+00:00
25,967,가입 완료,기존 멤버,,정회원,,연회비 납입 이력X,2026-08-08 01:54:29.560852+00:00,2026-08-08 01:54:29.560852+00:00
